,date,newspaper,circulation
0,23.03.2015,ZAMAN,881.7639999999999
1,23.03.2015,POSTA,377.93800000000005
2,23.03.2015,HÜRRİYET,361.721
3,23.03.2015,SÖZCÜ,332.245
4,23.03.2015,SABAH,304.894
5,23.03.2015,HABERTÜRK,191.145
6,23.03.2015,P.FOTOMAÇ,163.662
7,23.03.2015,TÜRKİYE,162.75
8,23.03.2015,MİLLİYET,157.543
9,23.03.2015,FANATİK,134.912
10,23.03.2015,BUGÜN,126.98700000000001
11,23.03.2015,YENİ ŞAFAK,108.00200000000001
12,23.03.2015,TAKVİM,106.333
13,23.03.2015,AKŞAM,102.667
14,23.03.2015,VATAN,102.598
15,23.03.2015,GÜNEŞ,102.529
16,23.03.2015,STAR,102.24700000000001
17,23.03.2015,TARAF,72.503
18,23.03.2015,AYDINLIK,53.18
19,23.03.2015,CUMHURİYET,52.577
20,23.03.2015,YENİ ÇAĞ,52.175
21,23.03.2015,YENİ ASYA,52.143
22,23.03.2015,MİLLET,45.568000000000005
23,23.03.2015,YENİ AKİT,38.786
24,23.03.2015,AMK,33.623000000000005
25,23.03.2015,ŞOK,26.601
26,23.03.2015,MİLLİ GAZETE,22.63
27,23.03.2015,YURT,16.867
28,30.03.2015,ZAMAN,852.0989999999999
29,30.03.2015,POSTA,383.67900000000003
30,30.03.2015,HÜRRİYET,368.292
31,30.03.2015,SÖZCÜ,346.44199999999995
32,30.03.2015,SABAH,307.746
33,30.03.2015,HABERTÜRK,202.68
34,30.03.2015,P.FOTOMAÇ,168.71400000000003
35,30.03.2015,TÜRKİYE,163.185
36,30.03.2015,MİLLİYET,157.89600000000002
37,30.03.2015,FANATİK,136.849
38,30.03.2015,BUGÜN,125.302
39,30.03.2015,YENİ ŞAFAK,113.286
40,30.03.2015,TAKVİM,109.006
41,30.03.2015,AKŞAM,104.427
42,30.03.2015,GÜNEŞ,103.055
43,30.03.2015,VATAN,102.896
44,30.03.2015,STAR,102.655
45,30.03.2015,TARAF,58.213
46,30.03.2015,CUMHURİYET,54.663000000000004
47,30.03.2015,AYDINLIK,53.785
48,30.03.2015,YENİ ÇAĞ,52.268
49,30.03.2015,YENİ ASYA,52.016999999999996
50,30.03.2015,MİLLET,46.45
51,30.03.2015,YENİ AKİT,40.097
52,30.03.2015,AMK,34.433
53,30.03.2015,ŞOK,26.090999999999998
54,30.03.2015,MİLLİ GAZETE,22.57
55,30.03.2015,YURT,9.365
56,06.04.2015,ZAMAN,837.367
57,06.04.2015,POSTA,377.4
58,06.04.2015,HÜRRİYET,369.95
59,06.04.2015,SÖZCÜ,335.208
60,06.04.2015,SABAH,306.487
61,06.04.2015,HABERTÜRK,201.233
62,06.04.2015,P.FOTOMAÇ,166.79
63,06.04.2015,TÜRKİYE,162.673
64,06.04.2015,MİLLİYET,158.937
65,06.04.2015,FANATİK,134.765
66,06.04.2015,BUGÜN,125.13
67,06.04.2015,YENİ ŞAFAK,115.53399999999999
68,06.04.2015,TAKVİM,105.87899999999999
69,06.04.2015,STAR,102.99700000000001
70,06.04.2015,VATAN,102.79799999999999
71,06.04.2015,GÜNEŞ,101.509
72,06.04.2015,AKŞAM,100.493
73,06.04.2015,MEYDAN,91.995
74,06.04.2015,MİLLET,53.673
75,06.04.2015,CUMHURİYET,53.457
76,06.04.2015,AYDINLIK,52.966
77,06.04.2015,YENİ ÇAĞ,52.168
78,06.04.2015,TARAF,52.161
79,06.04.2015,YENİ ASYA,51.957
80,06.04.2015,YENİ AKİT,38.698
81,06.04.2015,AMK,33.329
82,06.04.2015,ŞOK,25.115
83,06.04.2015,MİLLİ GAZETE,22.198
84,13.04.2015,ZAMAN,839.2130000000001
85,13.04.2015,POSTA,368.031
86,13.04.2015,HÜRRİYET,366.207
87,13.04.2015,SÖZCÜ,330.093
88,13.04.2015,SABAH,305.916
89,13.04.2015,HABERTÜRK,202.011
90,13.04.2015,P.FOTOMAÇ,169.889
91,13.04.2015,TÜRKİYE,162.349
92,13.04.2015,MİLLİYET,159.344
93,13.04.2015,FANATİK,137.585
94,13.04.2015,BUGÜN,125.417
95,13.04.2015,YENİ ŞAFAK,114.471
96,13.04.2015,VATAN,103.569
97,13.04.2015,TAKVİM,103.47
98,13.04.2015,AKŞAM,103.052
99,13.04.2015,STAR,102.03200000000001
100,13.04.2015,GÜNEŞ,100.87
101,13.04.2015,MEYDAN,68.038
102,13.04.2015,MİLLET,57.931999999999995
103,13.04.2015,CUMHURİYET,52.788999999999994
104,13.04.2015,AYDINLIK,52.486999999999995
105,13.04.2015,TARAF,52.443000000000005
106,13.04.2015,YENİ ÇAĞ,52.31
107,13.04.2015,YENİ ASYA,51.94
108,13.04.2015,YENİ AKİT,38.103
109,13.04.2015,AMK,33.693000000000005
110,13.04.2015,MİLLİ GAZETE,31.366
111,13.04.2015,ŞOK,24.927
112,20.04.2015,ZAMAN,849.813
113,20.04.2015,POSTA,365.551
114,20.04.2015,HÜRRİYET,361.941
115,20.04.2015,SÖZCÜ,328.811
116,20.04.2015,SABAH,309.62
117,20.04.2015,HABERTÜRK,199.954
118,20.04.2015,P.FOTOMAÇ,170.234
119,20.04.2015,TÜRKİYE,160.929
120,20.04.2015,MİLLİYET,159.861
121,20.04.2015,FANATİK,138.588
122,20.04.2015,BUGÜN,125.91
123,20.04.2015,YENİ ŞAFAK,113.47200000000001
124,20.04.2015,AKŞAM,104.285
125,20.04.2015,TAKVİM,103.735
126,20.04.2015,VATAN,103.148
127,20.04.2015,STAR,101.822
128,20.04.2015,GÜNEŞ,101.39200000000001
129,20.04.2015,MEYDAN,64.961
130,20.04.2015,MİLLET,62.306999999999995
131,20.04.2015,AYDINLIK,52.93600000000001
132,20.04.2015,CUMHURİYET,52.277
133,20.04.2015,YENİ ÇAĞ,52.226000000000006
134,20.04.2015,YENİ ASYA,52.022
135,20.04.2015,TARAF,51.945
136,20.04.2015,YENİ AKİT,37.905
137,20.04.2015,AMK,32.434
138,20.04.2015,MİLLİ GAZETE,31.383000000000003
139,20.04.2015,ŞOK,24.781999999999996
140,27.04.2015,ZAMAN,852.1089999999999
141,27.04.2015,HÜRRİYET,359.02099999999996
142,27.04.2015,POSTA,354.05800000000005
143,27.04.2015,SÖZCÜ,325.37
144,27.04.2015,SABAH,307.025
145,27.04.2015,HABERTÜRK,198.64700000000002
146,27.04.2015,P.FOTOMAÇ,172.63299999999998
147,27.04.2015,MİLLİYET,158.45
148,27.04.2015,TÜRKİYE,157.814
149,27.04.2015,FANATİK,136.063
150,27.04.2015,BUGÜN,125.48899999999999
151,27.04.2015,YENİ ŞAFAK,112.647
152,27.04.2015,GÜNEŞ,103.869
153,27.04.2015,TAKVİM,103.82799999999999
154,27.04.2015,VATAN,102.792
155,27.04.2015,AKŞAM,102.234
156,27.04.2015,STAR,102.149
157,27.04.2015,MEYDAN,69.28699999999999
158,27.04.2015,MİLLET,60.813
159,27.04.2015,CUMHURİYET,54.193000000000005
160,27.04.2015,AYDINLIK,52.093999999999994
161,27.04.2015,YENİ ASYA,51.943000000000005
162,27.04.2015,TARAF,51.902
163,27.04.2015,YENİ ÇAĞ,51.698
164,27.04.2015,YENİ AKİT,37.848
165,27.04.2015,AMK,32.298
166,27.04.2015,MİLLİ GAZETE,31.238000000000003
167,27.04.2015,ŞOK,25.921999999999997
168,04.05.2015,ZAMAN,862.6089999999999
169,04.05.2015,HÜRRİYET,363.48
170,04.05.2015,POSTA,348.41
171,04.05.2015,SÖZCÜ,321.874
172,04.05.2015,SABAH,306.598
173,04.05.2015,HABERTÜRK,196.725
174,04.05.2015,P.FOTOMAÇ,172.805
175,04.05.2015,MİLLİYET,157.266
176,04.05.2015,TÜRKİYE,156.248
177,04.05.2015,FANATİK,135.954
178,04.05.2015,BUGÜN,124.74600000000001
179,04.05.2015,YENİ ŞAFAK,111.637
180,04.05.2015,TAKVİM,104.529
181,04.05.2015,VATAN,103.021
182,04.05.2015,STAR,101.925
183,04.05.2015,AKŞAM,101.535
184,04.05.2015,GÜNEŞ,101.251
185,04.05.2015,MEYDAN,74.872
186,04.05.2015,MİLLET,61.51
187,04.05.2015,CUMHURİYET,60.236999999999995
188,04.05.2015,AYDINLIK,52.278999999999996
189,04.05.2015,YENİ ASYA,51.925
190,04.05.2015,YENİ ÇAĞ,51.808
191,04.05.2015,TARAF,51.49
192,04.05.2015,YENİ AKİT,37.512
193,04.05.2015,MİLLİ GAZETE,31.541999999999998
194,04.05.2015,AMK,30.773000000000003
195,04.05.2015,ŞOK,24.086
196,11.05.2015,ZAMAN,871.163
