,date,newspaper,circulation
0,06.01.2020,SABAH,242274
1,06.01.2020,SÖZCÜ,241577
2,06.01.2020,HÜRRİYET,215630
3,06.01.2020,POSTA,163059
4,06.01.2020,TÜRKİYE,130877
5,06.01.2020,MİLLİYET,125499
6,06.01.2020,AKŞAM,111098
7,06.01.2020,TAKVİM,104731
8,06.01.2020,YENİ ŞAFAK,102506
9,06.01.2020,FANATİK,64855
10,06.01.2020,P.FOTOMAÇ,63544
11,06.01.2020,KORKUSUZ,58972
12,06.01.2020,YENİ AKİT,56436
13,06.01.2020,YENİ ASIR,50974
14,06.01.2020,YENİ BİRLİK,50623
15,06.01.2020,CUMHURİYET,28384
16,06.01.2020,KARAR,22358
17,06.01.2020,AYDINLIK,14226
18,06.01.2020,DOĞRU HABER,13001
19,13.01.2020,SABAH,242417
20,13.01.2020,SÖZCÜ,241687
21,13.01.2020,HÜRRİYET,216184
22,13.01.2020,POSTA,162793
23,13.01.2020,TÜRKİYE,131596
24,13.01.2020,MİLLİYET,125590
25,13.01.2020,AKŞAM,112137
26,13.01.2020,TAKVİM,104832
27,13.01.2020,YENİ ŞAFAK,102119
28,13.01.2020,FANATİK,66173
29,13.01.2020,P.FOTOMAÇ,66089
30,13.01.2020,KORKUSUZ,58278
31,13.01.2020,YENİ AKİT,56523
32,13.01.2020,KARAR,51294
33,13.01.2020,YENİ ASIR,50888
34,13.01.2020,YENİ BİRLİK,50611
35,13.01.2020,CUMHURİYET,28191
36,13.01.2020,AYDINLIK,14241
37,13.01.2020,DOĞRU HABER,12964
38,20.01.2020,SABAH,242749
39,20.01.2020,SÖZCÜ,242169
40,20.01.2020,HÜRRİYET,216037
41,20.01.2020,POSTA,162603
42,20.01.2020,TÜRKİYE,132929
43,20.01.2020,MİLLİYET,125642
44,20.01.2020,AKŞAM,112642
45,20.01.2020,TAKVİM,104405
46,20.01.2020,YENİ ŞAFAK,101401
47,20.01.2020,FANATİK,67429
48,20.01.2020,P.FOTOMAÇ,67001
49,20.01.2020,KORKUSUZ,58510
50,20.01.2020,YENİ AKİT,56548
51,20.01.2020,KARAR,51560
52,20.01.2020,YENİ ASIR,51166
53,20.01.2020,YENİ BİRLİK,50585
54,20.01.2020,CUMHURİYET,29011
55,20.01.2020,AYDINLIK,14144
56,20.01.2020,DOĞRU HABER,12817
57,27.01.2020,SABAH,243852
58,27.01.2020,SÖZCÜ,242049
59,27.01.2020,HÜRRİYET,215333
60,27.01.2020,POSTA,162465
61,27.01.2020,TÜRKİYE,133777
62,27.01.2020,MİLLİYET,125473
63,27.01.2020,AKŞAM,112883
64,27.01.2020,TAKVİM,103762
65,27.01.2020,YENİ ŞAFAK,101615
66,27.01.2020,P.FOTOMAÇ,67901
67,27.01.2020,FANATİK,67829
68,27.01.2020,KORKUSUZ,58457
69,27.01.2020,YENİ AKİT,56603
70,27.01.2020,KARAR,51408
71,27.01.2020,YENİ ASIR,51050
72,27.01.2020,YENİ BİRLİK,50713
73,27.01.2020,CUMHURİYET,28555
74,27.01.2020,AYDINLIK,14180
75,27.01.2020,DOĞRU HABER,12809
76,03.02.2020,SABAH,243778
77,03.02.2020,SÖZCÜ,242428
78,03.02.2020,HÜRRİYET,214604
79,03.02.2020,POSTA,162441
80,03.02.2020,TÜRKİYE,133515
81,03.02.2020,MİLLİYET,125217
82,03.02.2020,AKŞAM,113462
83,03.02.2020,TAKVİM,103518
84,03.02.2020,YENİ ŞAFAK,101592
85,03.02.2020,FANATİK,67360
86,03.02.2020,P.FOTOMAÇ,66331
87,03.02.2020,KORKUSUZ,59047
88,03.02.2020,YENİ AKİT,56266
89,03.02.2020,KARAR,51431
90,03.02.2020,YENİ ASIR,51053
91,03.02.2020,YENİ BİRLİK,50660
92,03.02.2020,CUMHURİYET,30327
93,03.02.2020,AYDINLIK,14177
94,03.02.2020,DOĞRU HABER,12870
95,10.02.2020,SABAH,243250
96,10.02.2020,SÖZCÜ,242449
