,date,newspaper,circulation
0,02.01.2017,HÜRRİYET,326.715
1,02.01.2017,SABAH,317.017
2,02.01.2017,POSTA,278.925
3,02.01.2017,SÖZCÜ,273.246
4,02.01.2017,HABERTÜRK,201.95
5,02.01.2017,TÜRKİYE,144.912
6,02.01.2017,MİLLİYET,135.60399999999998
7,02.01.2017,P.FOTOMAÇ,132.062
8,02.01.2017,YENİ ŞAFAK,111.391
9,02.01.2017,TAKVİM,108.87
10,02.01.2017,GÜNEŞ,104.196
11,02.01.2017,VATAN,103.31
12,02.01.2017,AKŞAM,103.113
13,02.01.2017,STAR,102.654
14,02.01.2017,FANATİK,97.693
15,02.01.2017,KARAR,52.831
16,02.01.2017,YENİ AKİT,51.398999999999994
17,02.01.2017,AYDINLIK,50.269
18,02.01.2017,CUMHURİYET,42.013000000000005
19,02.01.2017,KORKUSUZ,39.25
20,02.01.2017,DOĞRU HABER,31.114
21,02.01.2017,YENİ ASIR,26.889
22,09.01.2017,HÜRRİYET,329.211
23,09.01.2017,SABAH,314.218
24,09.01.2017,SÖZCÜ,270.526
25,09.01.2017,POSTA,268.084
26,09.01.2017,HABERTÜRK,203.013
27,09.01.2017,TÜRKİYE,143.339
28,09.01.2017,P.FOTOMAÇ,138.266
29,09.01.2017,MİLLİYET,135.697
30,09.01.2017,YENİ ŞAFAK,111.139
31,09.01.2017,TAKVİM,106.73299999999999
32,09.01.2017,GÜNEŞ,103.456
33,09.01.2017,AKŞAM,103.414
34,09.01.2017,VATAN,103.346
35,09.01.2017,STAR,102.583
36,09.01.2017,FANATİK,101.22
37,09.01.2017,KARAR,52.471000000000004
38,09.01.2017,YENİ AKİT,51.016999999999996
39,09.01.2017,AYDINLIK,50.506
40,09.01.2017,CUMHURİYET,42.424
41,09.01.2017,KORKUSUZ,36.902
42,09.01.2017,DOĞRU HABER,31.211
43,09.01.2017,YENİ ASIR,26.605999999999998
44,16.01.2017,HÜRRİYET,326.661
45,16.01.2017,SABAH,314.56
46,16.01.2017,POSTA,282.307
47,16.01.2017,SÖZCÜ,270.435
48,16.01.2017,HABERTÜRK,204.135
49,16.01.2017,TÜRKİYE,142.33
50,16.01.2017,P.FOTOMAÇ,142.225
51,16.01.2017,MİLLİYET,135.481
52,16.01.2017,YENİ ŞAFAK,110.62
53,16.01.2017,TAKVİM,106.99700000000001
54,16.01.2017,GÜNEŞ,104.63
55,16.01.2017,AKŞAM,103.686
56,16.01.2017,VATAN,103.501
57,16.01.2017,FANATİK,103.355
58,16.01.2017,STAR,102.538
59,16.01.2017,KARAR,52.196999999999996
60,16.01.2017,YENİ AKİT,50.868
61,16.01.2017,AYDINLIK,50.24100000000001
62,16.01.2017,CUMHURİYET,43.495
63,16.01.2017,KORKUSUZ,39.917
64,16.01.2017,DOĞRU HABER,31.063000000000002
65,16.01.2017,YENİ ASIR,27.01
66,23.01.2017,HÜRRİYET,324.168
67,23.01.2017,SABAH,314.651
68,23.01.2017,POSTA,277.659
69,23.01.2017,SÖZCÜ,273.721
70,23.01.2017,HABERTÜRK,202.981
71,23.01.2017,P.FOTOMAÇ,144.815
72,23.01.2017,TÜRKİYE,142.247
73,23.01.2017,MİLLİYET,135.929
74,23.01.2017,YENİ ŞAFAK,110.697
75,23.01.2017,TAKVİM,108.096
76,23.01.2017,AKŞAM,104.383
77,23.01.2017,GÜNEŞ,104.337
78,23.01.2017,FANATİK,104.24700000000001
79,23.01.2017,VATAN,103.429
80,23.01.2017,STAR,102.56299999999999
81,23.01.2017,KARAR,52.122
82,23.01.2017,YENİ AKİT,51.04
83,23.01.2017,AYDINLIK,50.777
84,23.01.2017,CUMHURİYET,42.867
85,23.01.2017,KORKUSUZ,36.346
86,23.01.2017,DOĞRU HABER,31.035
87,23.01.2017,YENİ ASIR,26.203000000000003
88,30.01.2017,HÜRRİYET,326.63
89,30.01.2017,SABAH,310.866
90,30.01.2017,POSTA,276.482
91,30.01.2017,SÖZCÜ,274.467
92,30.01.2017,HABERTÜRK,204.019
93,30.01.2017,P.FOTOMAÇ,142.745
94,30.01.2017,TÜRKİYE,139.107
95,30.01.2017,MİLLİYET,135.011
96,30.01.2017,YENİ ŞAFAK,110.512
97,30.01.2017,TAKVİM,105.44200000000001
98,30.01.2017,GÜNEŞ,104.786
99,30.01.2017,AKŞAM,104.56
100,30.01.2017,FANATİK,103.545
101,30.01.2017,VATAN,103.28
102,30.01.2017,STAR,102.575
103,30.01.2017,KARAR,52.157
104,30.01.2017,AYDINLIK,50.986000000000004
105,30.01.2017,YENİ AKİT,50.785
106,30.01.2017,CUMHURİYET,42.066
107,30.01.2017,KORKUSUZ,36.184
108,30.01.2017,DOĞRU HABER,30.948
109,30.01.2017,YENİ ASIR,26.478
110,06.02.2017,HÜRRİYET,328.227
111,06.02.2017,SABAH,304.284
112,06.02.2017,SÖZCÜ,279.527
113,06.02.2017,POSTA,271.928
114,06.02.2017,HABERTÜRK,203.40900000000002
115,06.02.2017,P.FOTOMAÇ,143.622
116,06.02.2017,TÜRKİYE,136.8
117,06.02.2017,MİLLİYET,134.85399999999998
118,06.02.2017,YENİ ŞAFAK,110.61
119,06.02.2017,TAKVİM,106.553
120,06.02.2017,GÜNEŞ,104.529
121,06.02.2017,AKŞAM,103.839
122,06.02.2017,FANATİK,103.47
123,06.02.2017,VATAN,102.834
124,06.02.2017,STAR,102.587
125,06.02.2017,KARAR,52.196999999999996
126,06.02.2017,YENİ AKİT,50.935
127,06.02.2017,AYDINLIK,50.823
128,06.02.2017,CUMHURİYET,42.184
129,06.02.2017,KORKUSUZ,36.044000000000004
130,06.02.2017,DOĞRU HABER,31.016
131,06.02.2017,YENİ ASIR,26.315
132,13.02.2017,HÜRRİYET,322.181
133,13.02.2017,SABAH,302.627
134,13.02.2017,SÖZCÜ,278.722
135,13.02.2017,POSTA,272.851
136,13.02.2017,HABERTÜRK,204.261
137,13.02.2017,P.FOTOMAÇ,145.764
138,13.02.2017,TÜRKİYE,136.795
139,13.02.2017,MİLLİYET,134.612
140,13.02.2017,YENİ ŞAFAK,110.571
141,13.02.2017,TAKVİM,104.64200000000001
142,13.02.2017,GÜNEŞ,103.84200000000001
143,13.02.2017,FANATİK,103.789
144,13.02.2017,AKŞAM,103.584
145,13.02.2017,VATAN,102.81299999999999
146,13.02.2017,STAR,102.491
147,13.02.2017,KARAR,52.114
148,13.02.2017,YENİ AKİT,50.826
149,13.02.2017,AYDINLIK,50.458
150,13.02.2017,CUMHURİYET,42.218
151,13.02.2017,KORKUSUZ,36.333
152,13.02.2017,DOĞRU HABER,31.135
153,13.02.2017,YENİ ASIR,26.913
154,20.02.2017,HÜRRİYET,323.372
155,20.02.2017,SABAH,302.459
156,20.02.2017,SÖZCÜ,282.20599999999996
157,20.02.2017,POSTA,271.793
158,20.02.2017,HABERTÜRK,204.808
159,20.02.2017,P.FOTOMAÇ,145.45
160,20.02.2017,TÜRKİYE,137.241
161,20.02.2017,MİLLİYET,134.952
162,20.02.2017,YENİ ŞAFAK,110.81700000000001
163,20.02.2017,FANATİK,104.755
164,20.02.2017,TAKVİM,104.682
165,20.02.2017,GÜNEŞ,103.852
166,20.02.2017,AKŞAM,103.38600000000001
167,20.02.2017,VATAN,102.79799999999999
168,20.02.2017,STAR,102.469
169,20.02.2017,KARAR,52.003
170,20.02.2017,YENİ AKİT,51.168
171,20.02.2017,AYDINLIK,50.465
172,20.02.2017,CUMHURİYET,41.97
173,20.02.2017,KORKUSUZ,37.465
174,20.02.2017,DOĞRU HABER,31.319000000000003
175,20.02.2017,YENİ ASIR,26.604
176,27.02.2017,HÜRRİYET,323.776
